Manufacture Name,Country,Type,Export Shipment Count,Location,Website,Procurement Contacts,Company Phone
Dong Tay Connections Co Ltd,Vietnam,Dietary Supplement,37,"185/59 Nun Huynh Lien, Ward 10, Tan Binh District, Ho Chi Minh City, Vietnam",https://www.eximpedia.app/companies/dong-tay-connections-company-limited/58530020,,
Cafe Outspan Vietnam Ltd,Vietnam,Dietary Supplement,35,"Lot L1, Nhut Chanh Industrial Park, Nhut Chanh Commune, Ben Luc, Long An, Vietnam",https://www.emis.com/php/company-profile/VN/Cafe_Outspan_Vietnam_Limited__Cong_Ty_Trach_Nhiem_Huu_Han_Ca_Phe_Outspan_Viet_Nam__en_7399041.html,,
Vietnam Foods Corporation,Vietnam,Dietary Supplement,35,"Hanoi City, Gia Lam District, Lot B3, Hapro Food Industry Group, Vietnam",https://www.backroads.com/pro-tips/travel-guides/food-and-drink/food-in-vietnam,,
Hiep Long Ha Noi Foods JSC,Vietnam,Dietary Supplement,27,"House No. 22, Cao Ba Quat Street, Dien Bien Ward, Ba Dinh District, Hanoi City, Vietnam",https://www.dnb.com/business-directory/company-profiles.hiep_long_-_ha_noi_foods_joint_stock_company_-_business_location.a4d8becbb96c0ce26b6084a0cbd622fa.html,,
Jelly Belly Candy Company,Thailand,Confectionery,207,64/206 Moo 4 Tambon Pluakdaeng Amphur Pluakdaeng Rayong Thailand,https://www.jellybelly.com/,,
Thai Glico Co Ltd,Thailand,Confectionery,201,Ploenchit Tower 4th Floor 898 Ploenchit Road Pathumwan Bangkok 10330,https://www.glico.com/th/en/,,
Orchid Plus Co Ltd,Thailand,Confectionery,100,719 KPN Tower 11th Floor Rama 9 Road Huaykwang Bangkok 10310,https://www.thaiairways.com/en_TH/rop/index.page,,
Dmitry Fedorov Thailand Co Ltd,Thailand,Confectionery,89,-,https://www.dmitry-fedorov.com/en/,,
Ingredion Thailand Company,Thailand,Confectionery,49,40/14 Moo 12 Bangna-Trad Road Bangkaew Bangplee Samutprakarn 10540,https://www.ingredion.com/na/en-us.html,,
Boonprasert Confectionery Co Ltd,Thailand,Confectionery,42,Amphawa Samutsongkhram 75110 Thailand,,,
Coco Blues Thailand Co Ltd,Thailand,Confectionery,40,-,,,
Mingjeaw LP,Thailand,Confectionery,37,327/16 Fueang Nakhon Nai Mueang Mueang Nakhon Phanom Nakhon Phanom 48000 Thailand,,,
Promp Plus Co Ltd,Thailand,Confectionery,31,789/16 Rama 9 Road Bangkapi Huaikhwang Bangkok 10310,,,
